pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
Kepler-130,0.0,0.0,0.0,0.079,0,319.57,3,0.091,8.457458
Kepler-130,0.0,0.0,0.0,0.178,0,319.57,3,0.259,27.50868
Kepler-130,0.0,0.0,0.0,0.377,0,319.57,3,0.146,87.517905
Kepler-131,0.0,1.02,0.051,0.0,0,230.19,2,0.215,16.092
Kepler-131,0.0,1.02,0.026,0.0,0,230.19,2,0.075,25.5169
Kepler-132,0.0,0.0,0.0,0.067,0,303.0,4,0.108,6.178196
HD 16175,0.6,1.63,5.1,2.12,G0,59.96,1,0.0,990.0
HD 17092,0.17,6.73,10.13,1.31,K0 III,229.89,1,0.0,359.89999
HD 17156,0.68,1.41,3.51,0.0,G0 V,78.26,1,1.1,21.21663
HD 18742,0.04,1.36,3.4,1.82,G8/K0 IV,163.37,1,0.0,766.0
HD 19994,0.063,1.36,1.37,1.305,G0 V,22.54,1,0.0,466.2
HD 20794,0.0,0.7,0.0085,0.1207,G8 V,6.0,4,0.0,18.315
HD 20794,0.0,0.7,0.0076,0.2036,G8 V,6.0,4,0.0,40.114
HD 20794,0.0,0.7,0.015,0.3499,G8 V,6.0,4,0.0,90.309
HD 20782,0.95,1.07,1.4878,1.3649,G3 V,36.02,1,0.0,597.0643
HD 20868,0.75,0.39,1.25,0.95,K3/4 IV,47.79,1,0.0,380.85001
HD 23127,0.406,1.21,1.527,2.37,G2 V,94.11,1,0.0,1211.17
HD 23079,0.1,1.12,2.61,1.6,F8/G0 V,33.49,1,0.0,730.59998
HD 22781,0.8191,0.75,13.65,1.167,K1,32.63,1,0.0,528.07
HD 23596,0.27,1.47,9.03,2.77,F8 V,52.08,1,0.0,1561.0
HD 24040,0.04,1.11,3.86,4.92,G0 V,46.68,1,0.0,3668.0
HD 25171,0.042,1.08,0.915,2.971,F8 V,55.7,1,0.0,1802.29
HD 27442,0.06,1.23,1.56,1.271,K1/2 III,18.28,1,0.0,428.1
HD 27631,0.141,0.94,1.494,3.242,G3 IV-V,50.36,1,0.0,2198.14
HD 285507,0.09,0.82,0.98,0.06,K4.5 V,45.09,1,0.0,6.0881
HD 330075,0.0,0.47,0.48,0.04,K1,45.36,1,0.0,3.38773
HIP 5158,0.52,0.78,1.42,0.89,0,51.68,2,0.0,345.72
HIP 5158,0.14,0.78,15.04,7.7,0,51.68,2,0.0,9017.76
HIP 12961,0.17,0.69,0.36,0.25,M0,23.39,1,0.0,57.435
HIP 14810,0.14399,1.01,3.9,0.0696,G5,50.55,3,0.0,6.673892
HIP 14810,0.1566,1.01,1.31,0.549,G5,50.55,3,0.0,147.747
HIP 14810,0.185,1.01,0.59,1.94,G5,50.55,3,0.0,981.8
GJ 1148,0.38,0.35,0.30425,0.166,M4,11.02,2,0.0,41.38
HIP 57274,0.19,0.29,0.02,0.07,K4 V,25.88,3,0.0,8.1352
HIP 57274,0.05,0.29,0.40902,0.178,K4 V,25.88,3,0.0,32.03
HIP 57274,0.27,0.29,0.5267,1.01,K4 V,25.88,3,0.0,431.7
Ross 458,0.0,0.49,6.0,1100.0,M0.5,11.51,1,1.25,0.0
HIP 63242,0.23,1.54,9.18,0.565,G8,157.16,1,0.0,124.6
HIP 67851,0.05,1.63,1.38,0.46,K0 III,65.96,2,0.0,88.9
HIP 67851,0.17,1.63,5.98,3.82,K0 III,65.96,2,0.0,2131.8
HIP 70849,0.715,0.63,9.0,20.25,K7 V,24.07,1,0.0,17337.5
HD 183263,0.239,1.31,3.57,4.35,G2 IV,54.28,2,0.0,3070.0
Kepler-100,0.0,1.08,0.02218,0.0,0,307.34,3,0.196,12.8159
Kepler-100,0.0,1.08,0.00944,0.0,0,307.34,3,0.144,35.3331
Kepler-101,0.086,1.17,0.16,0.0474,G3 IV,953.44,2,0.51,3.4876812
Kepler-101,0.0,1.17,0.01,0.0684,G3 IV,953.44,2,0.112,6.02976
Kepler-102,0.0,0.81,0.01353,0.0,0,108.13,5,0.042,5.28696
Kepler-102,0.0,0.81,0.00944,0.0,0,108.13,5,0.052,7.07142
Kepler-102,0.0,0.81,0.012,0.0,0,108.13,5,0.105,10.3117
Kepler-102,0.0,0.81,0.028,0.0,0,108.13,5,0.198,16.1457
Kepler-102,0.0,0.81,0.01636,0.0,0,108.13,5,0.079,27.4536
Kepler-103,0.0,1.09,0.031,0.0,0,501.93,2,0.301,15.9654
Kepler-103,0.0,1.09,0.114,0.0,0,501.93,2,0.459,179.612
Kepler-104,0.0,0.0,0.0,0.094,0,405.42,3,0.277,11.427548
Kepler-104,0.0,0.0,0.0,0.153,0,405.42,3,0.279,23.668205
Kepler-104,0.0,0.0,0.0,0.257,0,405.42,3,0.319,51.755394
Kepler-105,0.47,0.96,0.0,0.066,0,465.33,2,0.429,5.4122
Kepler-105,0.0,0.96,0.01447,0.0,0,465.33,2,0.117,7.1262
Kepler-106,0.0,1.0,0.01668,0.0,0,449.98,4,0.073,6.16486
Kepler-106,0.0,1.0,0.033,0.0,0,449.98,4,0.223,13.5708
Kepler-132,0.0,0.0,0.0,0.068,0,303.0,4,0.114,6.414914
Kepler-132,0.0,0.0,0.0,0.136,0,303.0,4,0.138,18.010199
Kepler-133,0.0,0.0,0.0,0.083,0,665.37,2,0.157,8.129976
Kepler-133,0.0,0.0,0.0,0.204,0,665.37,2,0.253,31.517586
Kepler-134,0.0,0.0,0.0,0.06,0,338.05,2,0.178,5.317429
Kepler-134,0.0,0.0,0.0,0.092,0,338.05,2,0.112,10.105785
Kepler-135,0.0,0.0,0.0,0.067,0,632.99,2,0.161,6.00253
Kepler-135,0.0,0.0,0.0,0.103,0,632.99,2,0.103,11.448708
Kepler-136,0.0,0.0,0.0,0.106,0,425.94,2,0.183,11.5789
Kepler-136,0.0,0.0,0.0,0.133,0,425.94,2,0.178,16.399235
Kepler-137,0.0,0.0,0.0,0.077,0,305.65,2,0.131,8.436387
Kepler-137,0.0,0.0,0.0,0.13,0,305.65,2,0.168,18.735753
Kepler-138,0.0,0.52,0.00021,0.0,M1 V,66.99,3,0.047,10.3126
Kepler-138,0.0,0.52,0.0062,0.0,M1 V,66.99,3,0.107,13.7813
Kepler-138,0.0,0.52,0.00201,0.0,M1 V,66.99,3,0.108,23.0881
Kepler-139,0.0,0.0,0.0,0.127,0,395.45,2,0.262,15.771044
Kepler-139,0.0,0.0,0.0,0.586,0,395.45,2,0.302,157.072878
Kepler-140,0.0,0.0,0.0,0.045,0,593.8,2,0.144,3.25427
HD 27894,0.047,0.8,0.665,0.125,K2 V,43.88,3,0.0,18.02
HD 28254,0.81,1.06,1.16,2.15,G1 IV/V,54.7,1,0.0,1116.0
HD 28185,0.05,1.02,5.9,1.02,G5,39.43,1,0.0,379.0
HD 28678,0.149,1.53,1.542,1.18,G8 IV,190.92,1,0.0,380.2
HD 30177,0.162,1.05,8.622,3.704,G8 V,55.68,2,0.0,2527.83
HD 30562,0.76,1.12,1.22,2.34,F8 V,26.18,1,0.0,1157.0
HD 30669,0.18,0.92,0.47,2.69,G9 V,57.1,1,0.0,1684.0
HD 30856,0.061,1.17,1.547,1.85,K0 III,131.7,1,0.0,847.0
HD 31253,0.3,1.7,0.62,1.26,F8,58.24,1,0.0,466.0
HD 32518,0.01,1.13,3.04,0.59,K1 III,122.55,1,0.0,157.54
HD 33142,0.066,1.41,1.385,1.07,K0 III,121.8,2,0.0,326.0
HD 33283,0.399,1.38,0.329,0.1508,G3/G5 V,90.1,1,0.0,18.1991
HD 33564,0.34,1.25,9.1,1.1,F7 V,20.97,1,0.0,388.0
HD 34445,0.27,1.14,0.82,2.07,G0 V,46.15,6,0.0,1049.0
HD 37124,0.054,0.85,0.675,0.53364,G4 V,31.69,3,0.0,154.378
