pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
HD 179079,0.049,1.14,0.081,0.1214,G5 IV,69.85,1,1.63,0.0,14.479,1.0,0,1,287.790955,-2.638385,0
HD 179949,0.022,1.21,0.916,0.0443,F8 V,27.48,1,0.0,0.0,3.092514,6.3,0,1,288.888458,-24.179352,0
HD 180314,0.26,2.2,20.13,1.46,K0,122.79,1,8.13,0.0,396.03,0.0,0,1,288.709198,31.86035,0
HD 180902,0.107,1.41,1.685,1.4,K0 III/IV,104.89,1,4.16,0.0,510.9,0.0,0,1,289.823792,-23.558155,0
HD 181342,0.022,1.69,2.54,1.592,K0 III,120.81,1,4.71,0.0,564.1,1.9,0,1,290.267639,-23.619572,0
HD 181433,0.4,0.63,0.02,0.08,K3 IV,26.9,3,0.79,0.0,9.3743,1.5,0,1,291.289856,-66.468796,0
HD 181433,0.28,0.63,0.64,1.76,K3 IV,26.9,3,0.79,0.0,962.0,1.5,0,1,291.289856,-66.468796,0
HD 181433,0.48,0.63,0.54,3.0,K3 IV,26.9,3,0.79,0.0,2172.0,1.5,0,1,291.289856,-66.468796,0
HD 181720,0.26,1.03,0.4,1.85,G1 V,60.31,1,1.5,0.0,956.0,1.5,0,1,290.720764,-32.919056,0
HD 183263,0.36,1.31,3.95,1.49,G2 IV,54.28,2,1.23,0.0,626.51599,1.6,0,1,292.102386,8.358054,0
HD 212301,0.0,1.55,0.51,0.03,F8 V,54.32,1,1.16,0.0,2.24571,7.0,0,1,336.878845,-77.717926,0
HD 213240,0.42,1.57,5.58,1.89,G0/1 V,40.92,1,1.51,0.0,882.70001,4.0,0,1,337.751526,-49.43327,0
HD 215497,0.16,0.67,0.02,0.05,K3 V,40.59,2,0.85,0.0,3.93404,1.67,0,1,341.653137,-56.599533,0
HD 215497,0.49,0.67,0.33,1.282,K3 V,40.59,2,0.85,0.0,567.94,1.67,0,1,341.653137,-56.599533,0
HD 216435,0.07,1.3,1.26,2.56,G0 V,33.01,1,0.0,0.0,1311.0,5.8,0,1,343.408051,-48.598286,0
HD 216437,0.317,1.17,2.223,2.497,G2/3 IV,26.71,1,1.39,0.0,1334.28,2.5,0,1,343.66452,-70.073708,0
HD 216536,0.38,0.81,1.05,0.61,K0,380.33,1,9.83,0.0,148.60001,2.6,0,1,343.266598,44.477753,0
HD 216770,0.37,0.74,0.57,0.46,K0 V,36.7,1,0.93,0.0,118.45,1.4,0,1,343.973785,-26.658764,0
HD 217107,0.13,1.0,1.3,0.08,G8 IV,20.07,2,1.11,0.0,7.12682,0.0,0,1,344.564758,-2.395385,0
HD 217107,0.517,1.0,2.6,5.32,G8 IV,20.07,2,1.11,0.0,4270.0,0.0,0,1,344.564758,-2.395385,0
HD 217786,0.4,1.02,13.0,2.38,F8 V,54.8,1,1.27,0.0,1319.0,1.4,0,1,345.78418,-0.429622,0
HD 218566,0.3,0.76,0.2,0.69,K3 V,28.85,1,0.85,0.0,225.7,0.0,0,1,347.294708,-2.260742,0
HD 219077,0.77,1.05,10.39,6.22,G8 V,29.21,1,1.91,0.0,5501.0,1.46,0,1,348.527435,-62.700005,0
HD 219415,0.4,1.0,1.0,3.2,K0 III,165.97,1,2.9,0.0,2093.3,0.0,0,1,348.724278,56.730328,0
HD 219828,0.101,1.18,0.066,0.0507,G0 IV,73.27,2,1.61,0.0,3.83492,2.9,0,1,349.694733,18.64572,0
